headword,CEFR,example_en,translation_ar,example_ar
intense,B2,The heat was so intense we stayed indoors.,شديد,كانت الحرارة شديدة لدرجة أننا بقينا في الداخل.
inspire,B2,Her courage will inspire others.,يلهم,شجاعتها سوف تلهم الآخرين.
illness,B2,She missed school due to a sudden illness.,مرض,لقد تغيبت عن المدرسة بسبب مرض مفاجئ.
competitive,B2,She has a very competitive spirit on the track.,تنافسي,لديها روح تنافسية للغاية على المسار.
whenever,B2,Call me whenever you need help.,حينما,اتصل بي كلما كنت بحاجة إلى مساعدة.
attach,B2,Please attach your résumé to the email when you apply.,إرفاق,يرجى إرفاق سيرتك الذاتية بالبريد الإلكتروني عند تقديم الطلب.
disaster,B2,The earthquake was a natural disaster for the region.,كارثة,وكان الزلزال كارثة طبيعية للمنطقة.
parking,B2,Parking is free after 6 PM.,وقوف السيارات,تتوفر مواقف مجانية للسيارات بعد الساعة 6 مساءً.
severe,B2,The storm caused severe damage to the roof.,شديد,وألحقت العاصفة أضرارا جسيمة بالسقف.
poverty,B2,They launched a program to fight poverty.,فقر,أطلقوا برنامجًا لمكافحة الفقر.
entry,B2,His entry in the contest won first prize.,دخول,وقد حصل دخوله في المسابقة على الجائزة الأولى.
accomplish,B2,They accomplished all their goals ahead of schedule.,ينجز,لقد حققوا جميع أهدافهم قبل الموعد المحدد.
emphasis,B2,The teacher placed emphasis on good pronunciation.,توكيد,ركز المعلم على النطق الجيد.
boot,B2,He laced up his boots before hiking in the mountains.,حذاء,لقد ربط حذائه قبل المشي في الجبال.
monitor,B2,He used the monitor to keep an eye on the baby.,شاشة,استخدم الشاشة لمراقبة الطفل.
digital,B2,She reads her favorite book on a digital device.,رقمي,تقرأ كتابها المفضل على جهاز رقمي.
arrangement,B2,The seating arrangement was perfect.,ترتيب,ترتيب الجلوس كان مثاليا.
anger,B2,He felt anger when he heard the news.,الغضب,شعر بالغضب عندما سمع الخبر.
psychological,B2,They studied the psychological effects of stress.,نفسية,لقد درسوا الآثار النفسية للتوتر.
approximately,B2,The journey takes approximately two hours.,تقريبًا,تستغرق الرحلة حوالي ساعتين.
equally,B2,They shared the prize equally.,على قدم المساواة,لقد تقاسموا الجائزة بالتساوي.
vary,B2,Prices vary depending on demand.,يتغير,الأسعار تختلف حسب الطلب.
wire,B2,They ran a wire between the two buildings.,سلك,لقد مرروا سلكًا بين المبنيين.
round,B2,They sat around the round table.,دائري,جلسوا حول الطاولة المستديرة.
distribution,B2,The distribution of flyers began at noon.,توزيع,وبدأ توزيع المنشورات عند الظهر.
transportation,B2,Transportation costs have risen.,مواصلات,ارتفعت تكاليف النقل.
holy,B2,They attended the holy ceremony at dawn.,مقدس,وحضروا الحفل المقدس عند الفجر.
twin,B2,They are twin sisters who look identical.,التوأم,إنهما شقيقتان توأم تبدوان متطابقتين.
command,B2,The officer issued the command to advance.,يأمر,أصدر الضابط الأمر بالتقدم.
engineering,B2,She studied civil engineering at university.,هندسة,درست الهندسة المدنية في الجامعة.
clinic,B2,He went to the clinic for a check-up.,عيادة,ذهب إلى العيادة لإجراء فحص طبي.
capable,B2,She is capable of handling difficult tasks.,قادر,إنها قادرة على التعامل مع المهام الصعبة.
toss,B2,They toss the ball back and forth.,إرم,إنهم يرمون الكرة ذهابًا وإيابًا.
objective,B2,Her objective is to improve her English.,هدف,هدفها هو تحسين لغتها الإنجليزية.
electronic,B2,She prefers reading on an electronic device.,إلكتروني,إنها تفضل القراءة على جهاز إلكتروني.
reputation,B2,He has a good reputation in the industry.,سمعة,لديه سمعة جيدة في هذه الصناعة.
surely,B2,Surely you can’t be serious?,بالتأكيد,بالتأكيد لا يمكنك أن تكون جادا؟
pure,B2,The water from the spring was pure and refreshing.,نقي,وكانت مياه النبع نقية ومنعشة.
prisoner,B2,They discussed the topic of prisoner.,سجين,وناقشوا موضوع السجين.
nearby,B2,There is a café nearby.,قريب,يوجد مقهى قريب.
relative,B2,She stayed with her relatives.,نسبي,وبقيت مع أقاربها.
immigration,B2,The country tightened its immigration policies.,الهجرة,وشددت البلاد سياسات الهجرة.
supporter,B2,She is a strong supporter of animal rights.,مؤيد,إنها مؤيد قوي لحقوق الحيوان.
accompany,B2,May I accompany you to the airport?,مرافقة,هل يمكنني مرافقتك إلى المطار؟
recovery,B2,Her recovery was faster than expected.,استعادة,وكان تعافيها أسرع من المتوقع.
whisper,B2,They whisper secrets to each other.,الهمس,ويهمسون بالأسرار لبعضهم البعض.
crop,B2,The farmer harvested the crop in the fall.,محصول,حصد المزارع المحصول في الخريف.
permanent,B2,She got a permanent job after her internship.,دائم,حصلت على وظيفة دائمة بعد فترة تدريبها.
phenomenon,B2,The northern lights are a natural phenomenon.,ظاهرة,الأضواء الشمالية هي ظاهرة طبيعية.
anxiety,B2,She felt a wave of anxiety before the exam.,قلق,شعرت بموجة من القلق قبل الامتحان.
resist,B2,He couldn't resist the temptation to eat chocolate.,يقاوم,لم يستطع مقاومة إغراء تناول الشوكولاتة.
assist,B2,Can you assist me with carrying these boxes upstairs?,يساعد,هل يمكنك مساعدتي في حمل هذه الصناديق إلى الطابق العلوي؟
construct,B2,They plan to construct a new bridge over the river.,بناء,إنهم يخططون لبناء جسر جديد فوق النهر.
occasionally,B2,She occasionally visits her grandparents.,أحياناً,تزور أجدادها أحيانًا.
mayor,B2,The mayor gave a speech at the ceremony.,عمدة,وألقى عمدة المدينة كلمة في الحفل.
consideration,B2,Thank you for your consideration of my application.,اعتبار,شكرا لك على النظر في طلبي.
secure,B2,Make sure your password is secure.,يؤمن,تأكد من أن كلمة المرور الخاصة بك آمنة.
historic,B2,They visited the historic castle ruins.,تاريخي,وقاموا بزيارة أطلال القلعة التاريخية.
fifth,B2,He finished in fifth place in the race.,الخامس,احتل المركز الخامس في السباق.
constantly,B2,She constantly checks her phone for new messages.,باستمرار,إنها تتحقق باستمرار من هاتفها بحثًا عن رسائل جديدة.
apparent,B2,It was apparent that she was upset.,واضح,وكان من الواضح أنها كانت مستاءة.
mail,B2,She checked her mail first thing in the morning.,بريد,لقد فحصت بريدها أول شيء في الصباح.
reasonable,B2,That seems like a reasonable request.,معقول,يبدو أن هذا طلب معقول.
preparation,B2,She made all the preparation for the ceremony.,تحضير,لقد قامت بكل الاستعدادات للحفل.
aggressive,B2,He was very aggressive in the debate.,عنيف,لقد كان عدوانيًا جدًا في المناقشة.
intention,B2,He expressed his intention to resign.,نيّة,وأعرب عن نيته الاستقالة.
channel,B2,He switched to a different TV channel.,قناة,لقد تحول إلى قناة تلفزيونية مختلفة.
absence,B2,His absence from the conference was noticed.,غياب,ولوحظ غيابه عن المؤتمر.
rapidly,B2,The population is growing rapidly.,بسرعة,السكان ينمو بسرعة.
honest,B2,She gave me an honest answer.,أمين,أعطتني إجابة صادقة.
pace,B2,She quickened her pace to catch the bus.,خطوة,أسرعت في خطواتها للحاق بالحافلة.
employment,B2,He found employment at a local bookstore.,توظيف,وجد عملاً في مكتبة محلية.
impression,B2,My first impression of the city was very positive.,انطباع,كان انطباعي الأول عن المدينة إيجابيًا للغاية.
